words,sentiment_coeff
tudo,-1.019968504500995
mudou,-1.00784084125834
forma,-0.9824082527151471
"trabalhar,",-1.0027121116526703
nada,-1.0182026347311348
objetivo,0.9962507032066362
informar,-1.0170171872917213
#jornalismo,1.0873344144908905
mcdonald’s,1.1175796908288895
reabriu,0.9750537373414265
lojas,0.9863181969159902
público,0.9831250467894251
#covid19,0.9972348033754531
atento,0.9973021531220291
envolve,1.0029735368123103
saúde,0.9994769652133737
condições,0.9679900056607899
trabalho,-0.9721129482233627
nessa,-0.9989322783340656
pandemia,0.9686063413638025
#covid,-0.9621058559929918
problemas,-0.9820772627466495
definitivamente,-1.0318945859303266
acabaram,-1.0449833787796177
#saude,1.0591331483411055
#forabolsonaro,-1.0322609311121826
fábricas,1.0483001792659792
todo_mundo,-1.0020507733429826
viram,-1.00658195127458
obrigadas,1.077449540588676
funcionários,1.0136782400149504
decorrência,1.0194713463010012
antes,-0.9950541558254324
m…,-0.9712774092235353
@g1,-1.0454900588665694
@redeglobo,-1.0663429899834844
@jornalhoje,-1.0807140576929597
governo,0.9746057060008972
@jairbolsonaro,-1.0257373609043523
vai,-1.0156509388534178
socorrer,1.0430090483219037
ninguém,-1.026968724292081
pois,-1.0120826284857694
minto,-1.0692250053393635
quer,-1.0095397617265147
r…,0.9974410207862036
lei,1.0197342155999147
n°,1.0173788828510413
pretende,1.0297769870856177
traçar,1.0403961213228468
investigar,1.0255141663457015
percurso,1.0120025347970525
pessoas,-0.9717909321398835
"contatos,",1.095885742172186
precisa,-1.013931998850705
ser,-0.9989333303465396
responsabilizado,-0.9970901273570896
tecnologia,1.02003642119853
sendo,-0.9667863579360301
testada,1.010283920499939
combate,1.013862496874701
sistema,0.990618693116217
capaz,-1.0081029472537542
de…,0.9616224785518053
conhecem,-1.0399404963820007
algum,-1.0022162132090613
país,-0.9464920803641339
além,-0.9759681867552552
brasil,-0.9490009066628335
torcida,-1.0465681834429201
organizada,-1.0426831892194848
coronavirus????,-1.0536581134373268
recebe,1.0256260785767322
centro,0.987552185452686
municipal,1.037788590047307
isolamento,-0.9526173488419059
covid19,0.9496511548534782
#isolamentosocial,1.0336585806922987
📣,1.0941859678567365
notícia,-0.9988156354431474
/,0.9931653330371609
news,1.0415796524253347
🇵🇹,1.08903963747983
manual,1.099365833180654
boas,-1.0026838130368836
práticas,1.0463288105392916
–,1.0251076106685753
algarve,1.0402092579218378
&amp,1.028405647105491
safe,1.0529768944139422
🇬🇧,1.074910404294222
good,-1.0433847715320563
c…,0.9497649144122583
enquanto,-0.9691100077609192
